Product_Link,Product_Name,Rating,Price,Website,Description
https://www.amazon.in/Lacto-Calamine-Botanical-Non-greasy-Dermatologically/dp/B0BQWGCF8H?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A15APWRK6P7LBV,Lacto Calamine Anti-Blemish cream 30 g,5.07,₹ 266.00,AJIO.com,Topical · Cream
https://www.nykaa.com/dot-key-cica-salicylic-face-wash-with-tea-tree-oil-for-oily-acne-prone-skin/p/7248416?ptype=product&skuId=15542064&srsltid=AfmBOopwoTJQ7a5J5_AFOZkoj7KexETkjGDPVIwYoJZ8zA4hpoNSISLwKqw,DOT & KEY Salicylic Acid & Green Tea Cica Calming Blemish Clearing Gel Face Wash ...,5.06,₹ 375.00,JioMart,Face Wash · Oil-free · Gel
https://www.nykaa.com/nykaa-skin-secrets-spot-on-tea-tree-salicylic-acid-pimple-patch-old/p/785729?ptype=product&skuId=785729&srsltid=AfmBOoqiXYIbMN0IoGpHL3dy5MWPIYqCproW9ocLf9fG4pT0iWUHS7nUKn4,"Nykaa Skin Secrets Tea Tree & Salicylic Acid Spot Patch At Nykaa, Best Beauty ...",5.05,₹ 80.00,Nykaa,
https://earthrhythm.com/products/acne-control-kit?variant=39494922240044&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq-9ymCtQ7swGKlovxIo6xCQTHrVBqqyejbyDbllxFK2pdtRA2j1rE,Earth Rhythm ACNE CONTROL KIT,5.023,"₹ 1,357.00",Earth Rhythm,Salicylic Acid · Oil-free
https://www.dotandkey.com/collections/combo-regimes/products/cica-superstar-trio?srsltid=AfmBOoo5f2EqBl_Wwac_XdKmh7Wta90UL7C_xFPC0JjenBPvD67v-PIfD84,Dot & Key Acne Control CTM Night Care Regime | Toner 150ml & Moisturizer 60ml,4.931,₹ 797.00,Dot & Key,Topical · For Oily Skin
https://www.foxy.in/products/oil-control-face-wash?gs=1&variant=39466&srsltid=AfmBOoqXbVye6UK4eS_HI0O4Eq7LvpaSyb3dxbPINuaVFu4aJ5z7jRgRvr8,Earth Rhythm Oil Control Face Wash (150ml),4.931,₹ 279.00,Foxy,
https://www.tirabeauty.com/product/lacto-calamine-2-salicylic-acid-face-serum-30ml--4cprjncxel?srsltid=AfmBOoppzgspJD6XHjPB-AEgKTF1DRKguWefliUKD1H08W-ghnPYxILiono,Lacto Calamine 2% Salicylic Acid Face Serum 30Ml 1'S,4.91,₹ 309.00,Tira,Day · Salicylic Acid · Serum
https://www.nykaa.com/lacto-calamine-night-gel-with-green-tea-overnight-hydration/p/7241054?ptype=product&skuId=7241054&srsltid=AfmBOop-yOXTnYG87M0019ViKAEfOGSNRvKzSGxXh9tnsU2xlF3LjvLSGCQ,Lacto Calamine Night Gel With Green Tea|overnight Hydration|suitable For Oily ...,4.88,₹ 308.13,FirstCry India,Night · Alpha Hydroxy · Gel
https://www.dotandkey.com/collections/combo-regimes/products/break-up-with-acne-combo-2?srsltid=AfmBOorNZdAGkLigXlvKL-So3jxnHEhO0OKIej8y5BUrUHAGOcPQjJRyeUs,"Dot & Key Super Cica & Salicylic Anti Acne Routine | Facewash 100ml, Serum 30ml ...",4.833,"₹ 1,102.00",Dot & Key,
https://www.nykaa.com/himalaya-pure-skin-neem-facial-kit/p/592517?ptype=product&skuId=592517&srsltid=AfmBOopMhwxoqjkRjpL5rqUR5Jl3Czgf7RPV0bz2cV1_DSxHQI3oM5_P1cQ,Himalaya Pure Skin Neem Facial Kit,4.754,₹ 171.00,bbstore.in/store,
https://www.drsheths.com/products/cleanse-prevent-acne-combo?variant=47198778032359&currency=INR&utm_term=shopify_IN_8447644401895_47198778032359&srsltid=AfmBOop8BIKxRaZ4OYZ2CQIUXH-https://www.drsheths.com/products/cleanse-prevent-acne-combo?variant=47198778032359&currency=INR&utm_term=shopify_IN_8447644401895_47198778032359&srsltid=AfmBOop8BIKxRaZ4OYZ2CQIUXH-Ra-Z22VXinEf7QKZzbTTiKQStW-KuIsM,Dr. Sheth's Cleanse & Prevent Acne Combo,4.722,₹ 549.00,Dr. Sheth's,Face Wash
https://www.shopsy.in/sanfe-beauty-anti-acne-serum-stick-salicylic-acid-face/p/itm0df269d9a068c?pid=LPBGFT2TF78WUYGK&lid=LSTLPBGFT2TF78WUYGKN6O4GP&marketplace=FLIPKART,Sanfe Beauty Anti Acne Salicylic Serum Stick (8g),4.65,₹ 343.00,Shopsy By Flipkart,Topical · Salicylic Acid
https://thedermaco.com/product/sali-cinamide-anti-acne-serum-with-2-salicylic-acid-5-niacinamide-30ml?srsltid=AfmBOoozeUAY7OIaP-E_qmLrl8aMKT5CWFyYVeIcwiYm9Bh-7JV5KGMshjI,The Derma Co. Sali-Cinamide Anti-Acne Face Serum With 2% Salicylic Acid & 5 ...,4.637,₹ 760.50,Netmeds.com,Salicylic Acid · Serum
https://www.nykaa.com/aroma-magic-neem-tea-tree-face-wash/p/7759347?ptype=product&skuId=7759342&srsltid=AfmBOooyZ5hl69_R87Ni7ZTWZ6BDLOXg3YDUWjO90QDKByk2K9z4pPaVc50,Aroma Magic Neem & Tea Tree Face Wash- 50 ml (Pwrd by Niacinamide),4.532,₹ 81.00,Beuflix.com,For Oily Skin · Aloe · Gel
