Product_Link,Product_Name,Rating,Description,Price,Website
https://www.nykaa.com/love-beauty-planet-skin-moisturising-combo/p/11771942?ptype=product&skuId=11771942&srsltid=AfmBOopv_vsfgzcvmitp_dsSAVUh2ju5BjBs8SrQrPtq_7bhHKruJ7Ks5QM,"Love Beauty & Planet Skin Moisturising Combo At Nykaa, Best Beauty Products Online",5.05,,533,Nykaa
https://www.amazon.in/Physiogel-Hypoallergenic-Moisture-Sensitive-Provides/dp/B0BD29N17Q?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A1ZK88J0676FJ2,Physiogel Hypoallergenic Daily Moisture Therapy Cream,5.05,Men's · For Dry Skin · Cream,636.5,kauveryMeds.com
https://earthrhythm.com/products/dry-skin-care-kit?variant=39474064228396&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqkrxGEcJ81skayjiRTTTvfspCQDVnTI4yyangdjJR_0YpnJlG1M5k,Dry Skin Care Routine Kit: Face Wash + Face Serum + Face Moisturiser | Earth ...,4.927,,"₹ 1,587.00",Earth Rhythm
https://www.amazon.in/Derma-Moisturizer-Peptide-Moisturizes-Regeneration-Strengthens/dp/B0D1C19JRP?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A61C6NUFGVGS7,The Derma Co. x Dr.V Skin Renew Barrier Repair Peptide Moisturizer-Peptide ...,4.89,Face · Men's · Vitamin C,499,Nykaa Man
https://www.reequil.com/products/dry-skin-ctm-bundle?variant=32696053137540&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorKZ3HCtOV0fGrnoH13bfDW0Bo4bnP7XVKU2rV-lHrB_6dpfpyr0GE,Re'equil Dry Skin CTM Bundle,4.766,,1055.55,Re'equil
https://www.clinikally.com/products/cerave-moisturising-cream-for-dry-to-very-dry-skin?currency=INR&variant=44123528233207&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=aa4fff04d0da&srsltid=AfmBOorNuWetM7eYSra6UrkV4JeyJE1d4HUoIbeWrrcV-PNJP8S8yN_Cr1U,"CeraVe Moisturising Cream for Dry to Very Dry Skin, 50 ml",4.71,For Dry Skin · Ceramides,399,Clinikally
https://www.dotandkey.com/products/dot-key-ceramides-hyaluronic-hydrating-face-cream-i-repairs-skin-barrier-intense-moisturization-sensitive-dry-skin-fragrance-free?srsltid=AfmBOopDuYIP4siR73N406lqhfATszMSyVWqi1Ik1W158IQIvsiHUUwu-0U,Dot & Key Ceramides & Hyaluronic Face Cream,4.6837,For Dry Skin,₹ 340.00,Swiggy Instamart
https://www.dotandkey.com/products/hydration-must-have-duo-1?srsltid=AfmBOopi27-icjLfXvoxe10fsmSVjPJZYlZYnnHaALGovzs7UOwGtJwac1s,"Dot & Key Hydrating Barrier Repair Duo | For Dry, Normal & Sensitive Skin| Face ...",4.6837,,450,Dot & Key
https://pinkvanitys.com/products/cetaphil-moisturising-cream-80gm?variant=45185269301552&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooNBmp4m3Xaf-xYqAd2AlxLgOdJw09IgNer-Wab8p8rfqjghexurYQ,Cetaphil Moisturising Cream 80gm,4.66,For Dry Skin · Cream,361,Pink Vanitys
https://www.myntra.com/body-cream-and-lotion/parachute/parachute-advansed-soft-touch-body-lotion--250-ml/12974778/buy,"Parachute Advansed Body Lotion Soft Touch, 250 ml",4.6215,Vitamin E · Coconut Oil,147,blinkit
https://www.amazon.in/Boroplus-Provides-Moisturisation-Ayurvedic-Goodness/dp/B07VV5R3FB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A15APWRK6P7LBV,Boroplus Doodh Kesar Body Lotion,4.6162,Vitamin E · Anti-ageing,379,JioMart
https://www.jovees.com/products/shea-butter-moisturiser?srsltid=AfmBOopPcB5HllloZl9VjbpfSD49h45bh-ZHQwaH6kgFhF13lFFuCM20R_Y,Jovees Shea Butter Moisturiser (50g),4.6155,Day · Vitamin E · Aloe · Honey,155,jovees.com
https://smytten.com/shop/product/body-lotions-and-moisturizers/barrier-repair-hyaluronic-body-lotion/DAK0142AB29?srsltid=AfmBOooemguHPFpZAOoZvRIfK5LyVo1I93tS9mFG1xWoa2dL-ujTaEy1UJA,Dot & Key Hyaluronic + Ceramide Body Lotion 250ml - Intense Hydration & Skin ...,4.55,Ceramides · For Dry Skin,₹ 336.00,Smytten
https://www.apollopharmacy.in/otc/parachute-advansed-deep-nourish-body-lotion-400-ml?srsltid=AfmBOoqaePkIIfeExGgPVV5ZLJEKfs1-hQYbAeRwM1OWe_5UvlVv80ZpNE0,"Parachute Advansed Body Lotion Deep Nourish, 400 ml",4.51,Face · Men's · For Dry Skin,₹ 192.50,Apollo247
https://www.google.com/url?url=https://www.amazon.in/Parachute-Advansed-Body-Lotion-Nourish/dp/B00CBRJ34E%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA15APWRK6P7LBV&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ1SkIlRIoAA&usg=AOvVaw2dnCU952wUE8XSd0TVVp7c,"Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml ...",4.51,Oil-free · For Dry Skin,₹ 211.75,Amazon.in
"https://www.google.com/shopping/product/7383202911602182512?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:1307263020541030398_0,pid:16599570669643206932,rsk:PC_7214277273639250584&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gII8hEoAA","Parachute Advansed Cocoa Repair Body Lotion , Intense Moisture, 400ml",4.4519,Face · Cocoa Butter,₹ 199.00,bigbasket.com
"https://www.google.com/shopping/product/2892573578684239570?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:17783636016605216335_0,pid:5371706527328879591,rsk:PC_7214277273639250584&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIImhMoAA","Parachute Advansed Cocoa Repair Body Lotion , Intense Moisture, 250ml",4.4519,Men's · Cocoa Butter,118,Redfynd.com
"https://www.google.com/shopping/product/8490401735941972341?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:717940941623707833_0,pid:16663144830941497531,rsk:CID_8490401735941972341&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIIzRQoAA",Boroplus Cocoa Soft Body Lotion,4.312,Face · Cocoa Butter · Cream,348,JioMart
"https://www.google.com/shopping/product/9269943941441899387?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:13258235963211957902_0,pid:13678489444879744696,rsk:PC_2248649994050268413&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIIjRYoAA",Vegetal Ultradew Moisturising Lotion for Very Dry and Itchy Skin- 150ml.,4.27,For Dry Skin · Vitamin E,339,Clinikally
"https://www.google.com/shopping/product/14888961341264668337?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:9040259535690748971_0,pid:347382003427087234,rsk:PC_13657571104070149910&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIItREoAA","Oil-Free Daily Face Moisturizer With Hyaluronic Acid, Ceramides & Multivitamins ...",4.251,Oil-free,₹ 307.00,The DermaCo.
"https://www.google.com/shopping/product/18337576360787502548?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:16607528716156264270_0,pid:7837508537781723478,rsk:PC_13081635187299005014&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIIrhQoAA",Mamaearth Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric For Skin ...,4.2309,Face · Vitamin E · Vitamin C,249,Mamaearth
"https://www.google.com/shopping/product/7832491732668515536?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:16114317239822408268_0,pid:1262394936485248446,rsk:PC_9733833044981448250&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gII0hUoAA",Pilgrim Day Hydration Routine for Skin Tightening & Brightening (Pack) by Myntra,4.01,,1040,Myntra
"https://www.google.com/shopping/product/10775344036247206435?q=dry+skin+products&sca_esv=2e8a42a989b18c72&biw=1280&bih=632&sxsrf=ADLYWIJ114XZC5JeYdjSSuxQlPV4WOa2AA:1718810149096&oq=&gs_lp=Egtwcm9kdWN0cy1jYyIAKgIIATIHECMYJxjqAjIHECMYJxjqAkjZE1AAWABwAXgAkAEAmAEAoAEAqgEAuAEByAEA-AEBmAIBoAIFqAICmAMFkgcBMaAHAA&sclient=products-cc&prds=eto:2198566868468355589_0,pid:12536886168580499412,rsk:PC_13434932052128244559&sa=X&ved=0ahUKEwiMofLm_eeGAxW7yzgGHbTxDQAQ8gIIpREoAA",Dry Skincare Kit,3.85,,"₹ 1,034.00",Tira
