Product_Link,Product_Name,Rating,Description,Price,Website
https://www.nykaa.com/neutrogena-oily-skin-combo/p/68509?ptype=product&skuId=68509&srsltid=AfmBOorNZbD57ydRa5EU0wht7jI0AnTjYZsDcYEfHB1-fR9LhDUM0zqKpaY,Neutrogena Oily Skin Combo ,5.05,,1179,Nykaa
https://www.nykaa.com/cetaphil-skin-care-regime-for-oily-skin-slash-save-hp2021/p/1017252?ptype=product&skuId=1017252&srsltid=AfmBOop_FSJkG9AKJLhsk7Pr6sEm9KYApWfyNDkKUmqQj8tEZKkPytI3CX4,"Cetaphil Skin Care Regime For Oily Skin At Nykaa, Best Beauty Products Online ...",5.05,,1030,Nykaa
https://www.nykaa.com/lacto-calamine-oily-skin-combo-with-kaolin-clay/p/10542770?ptype=product&skuId=10542770&srsltid=AfmBOoqa9y7MZO5wYT1wU4w9kY8sNxbYWATsm58BKDEY7PjR0kAf3ecaXoI,"Lacto Calamine Oily Skin Combo With Kaolin Clay At Nykaa, Best Beauty Products ...",5.05,,557,Nykaa
https://www.myntra.com/face-wash-and-cleanser/mcaffeine/mcaffeine-set-of-2-coffee-face-wash-for-fresh--glowing-skin---100ml-each/22524062/buy,MCaffeine Set of 2 Coffee Face Wash for Fresh & Glowing Skin - 100ml each(Pack ...,5.01,All Skin Types,698,Myntra
https://www.foxy.in/products/oil-control-face-wash?gs=1&variant=39466&srsltid=AfmBOoo7LA3onjGx0IbEWRSUDVp8Zr3tn0q1eV8ne0fA6atQoIO1rK1QtTU,Earth Rhythm Oil Control Face Wash (150ml),4.931,For Sensitive Skin · Gel,279,Foxy
https://www.amazon.in/Pilgrim-Hydrating-hydrators-Pentavitin-hydration/dp/B0C8JRKZV8?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AZ2BBRFTETV0S,Pilgrim Swiss Aqua Rush Hydrating Gel Toner (100ml),4.9173,Toner,276,Divaaglam
https://www.amazon.in/Lacto-Calamine-Salicylic-Fighting-Suitable/dp/B0BNQVY27Q?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A15APWRK6P7LBV,Lacto Calamine 2% Salicylic Acid Face Serum 30Ml 1'S,4.91,Day · Salicylic Acid · Serum,309,Tira
https://www.nykaa.com/lacto-calamine-night-gel-with-green-tea-overnight-hydration/p/7241054?ptype=product&skuId=7241054&srsltid=AfmBOooXa5gIxaxWJPjnJEpTGS-Z3_IWGjdyUhMMBEABNIsEPBz0R9ZR5Wc,Lacto Calamine Night Gel With Green Tea|overnight Hydration|suitable For Oily ...,4.88,Night · Alpha Hydroxy · Gel,350,Zepto
https://discoverpilgrim.com/products/tea-tree-purifying-toner,Pilgrim Tea Tree Purifying Toner 100 Ml,4.821,Toner · Liquid,255,kindlife.in
https://www.myntra.com/serum-and-gel/mcaffeine/mcaffeine--10-niacinamide-green-tea-face-serum---30ml/22025482/buy,Mcaffeine Green Tea Face Serum With Niacinamide 10% 30 Ml,4.778,Men's · Aloe · Caffeine · Serum,521.13,FirstCry India
https://www.flipkart.com/clensta-oil-control-face-wash/p/itm0c2e56ab06531?pid=FCWGWUC4CPXTHSR5&lid=LSTFCWGWUC4CPXTHSR5DVV86M&marketplace=FLIPKART&cmpid=content_face-wash_8965229628_gmc,Clensta Oil Control Face Wash,4.7356,,99,Flipkart
